City_ID,City,Country,Latitude,Longitude,Date,Max Temperature (C),Humidity,Cloudiness,Wind Speed (km/h)
270,Inhambane,MZ,-23.865,35.3833,2021-03-19 07:08:46,28.0,78,75,4.12
271,Punta Arenas,CL,-53.15,-70.9167,2021-03-19 07:07:53,9.0,81,0,3.6
272,Rørvik,NO,64.8621,11.2373,2021-03-19 07:08:47,0.0,69,75,5.14
273,Cayenne,GF,4.9333,-52.3333,2021-03-19 07:07:50,25.56,94,99,3.21
274,Hithadhoo,MV,-0.6,73.0833,2021-03-19 07:08:01,28.06,73,100,4.6
275,Hohhot,CN,40.8106,111.6522,2021-03-19 07:08:47,5.0,75,40,5.0
276,Bonavista,CA,48.6499,-53.1147,2021-03-19 07:08:47,3.33,100,100,4.63
277,Mar del Plata,AR,-38.0023,-57.5575,2021-03-19 07:08:17,12.22,100,0,1.54
278,Rikitea,PF,-23.1203,-134.9692,2021-03-19 07:01:32,26.78,78,100,7.49
279,College,US,64.8569,-147.8028,2021-03-19 07:08:49,-14.0,78,90,1.16
280,Jamestown,US,42.097,-79.2353,2021-03-19 07:07:54,-1.67,50,1,7.53
281,Lomovka,RU,53.9194,58.3672,2021-03-19 07:08:49,-6.0,93,90,6.0
282,Sibolga,ID,1.7427,98.7792,2021-03-19 07:07:16,28.68,78,77,1.63
283,Upata,VE,8.0086,-62.3989,2021-03-19 07:08:49,22.78,90,88,0.89
284,Poli,TZ,-3.3333,36.8,2021-03-19 07:08:50,23.0,88,75,5.14
285,Kalianget,ID,-7.05,113.9333,2021-03-19 07:08:50,30.15,71,1,4.96
286,Mataura,NZ,-46.1927,168.8643,2021-03-19 07:07:45,13.33,80,45,1.79
287,Ushuaia,AR,-54.8,-68.3,2021-03-19 07:00:10,7.0,70,75,3.09
288,Vaini,TO,-21.2,-175.2,2021-03-19 07:08:12,26.0,89,20,1.54
289,Wawa,NG,9.9022,4.4192,2021-03-19 07:08:51,26.38,61,41,2.1
